"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl_id"
"ENSG00000146966",-2.01712095811263,2.0200239655217,-5.9708891606168,4.82109845378206e-06,3.5739793755886e-05,3.82571692301495,"ENSG00000146966"
"ENSG00000072110",1.28362907080922,3.62389177387637,5.96857650800378,4.84751384183727e-06,3.59164915944963e-05,3.82022124180623,"ENSG00000072110"
"ENSG00000198682",-1.19202004742785,4.06951345886189,-5.96524908907005,4.88577910583864e-06,3.61613665792224e-05,3.81231320608839,"ENSG00000198682"
"ENSG00000223552",1.38222091070012,0.687686811879558,5.96493017543333,4.88946274027973e-06,3.61613665792224e-05,3.81155521076514,"ENSG00000223552"
"ENSG00000122034",1.07502457703415,4.15400309934659,5.96484721753238,4.8904214152841e-06,3.61613665792224e-05,3.81135803444911,"ENSG00000122034"
"ENSG00000135063",-1.58530340762356,-0.781600556915407,-5.9648011897535,4.89095340243325e-06,3.61613665792224e-05,3.81124863423974,"ENSG00000135063"
"ENSG00000254838",-1.51276433839968,-0.930287319073878,-5.96291769278758,4.91277345602649e-06,3.63034140418263e-05,3.80677170600028,"ENSG00000254838"
"ENSG00000130653",-1.58586943435366,0.822805152524928,-5.96185121748597,4.9251724004818e-06,3.63757295275902e-05,3.80423662348915,"ENSG00000130653"
"ENSG00000259781",1.08357873136495,4.77488418301021,5.9591021637698,4.95728045930915e-06,3.6593456285526e-05,3.79770143325178,"ENSG00000259781"
"ENSG00000137078",-1.18488290464739,1.43026246877569,-5.95861492228726,4.96299350361919e-06,3.661621386189e-05,3.7965430618248,"ENSG00000137078"
"ENSG00000156471",0.677258571846447,3.25098638602497,5.9564310221853,4.98868292136061e-06,3.67862519232958e-05,3.79135076023384,"ENSG00000156471"
"ENSG00000160868",-2.34965567016915,-0.928354486124706,-5.9547629275208,5.00839614507663e-06,3.68935253581542e-05,3.78738449469667,"ENSG00000160868"
"ENSG00000075142",-1.36983331813656,5.43426755995847,-5.95475157372291,5.008530593802e-06,3.68935253581542e-05,3.78735749760104,"ENSG00000075142"
"ENSG00000166012",0.902622325602205,1.81454078865349,5.95321233285269,5.02679198390206e-06,3.70084600739738e-05,3.78369737087211,"ENSG00000166012"
"ENSG00000187193",-2.19272190316486,0.298224587457816,-5.95142312682814,5.04810424985547e-06,3.71457227095602e-05,3.77944257065329,"ENSG00000187193"
"ENSG00000242498",-0.946483225137728,1.87466828363408,-5.95067068811569,5.05709447081593e-06,3.71761609642163e-05,3.77765315060412,"ENSG00000242498"
"ENSG00000171105",-0.727832422444813,2.45404492260134,-5.95062996969529,5.05758144420526e-06,3.71761609642163e-05,3.77755631410958,"ENSG00000171105"
"ENSG00000204175",-1.952910887946,2.87467068896223,-5.94856503079818,5.08233993040694e-06,3.73199433333343e-05,3.77264526995496,"ENSG00000204175"
"ENSG00000196196",-2.72696420713232,4.77245408818961,-5.94855142965041,5.08250341617597e-06,3.73199433333343e-05,3.77261292098597,"ENSG00000196196"
"ENSG00000105327",1.06069920979824,3.21923060453735,5.94539878836033,5.12054314407866e-06,3.75794420937602e-05,3.76511419955165,"ENSG00000105327"
"ENSG00000145545",0.809402833574869,1.0178117605557,5.94496481611804,5.12580212146814e-06,3.75982176686404e-05,3.76408189924146,"ENSG00000145545"
"ENSG00000154556",-1.14677419892191,-0.257491450943612,-5.94463453854118,5.12980819138801e-06,3.76077881203285e-05,3.76329624783693,"ENSG00000154556"
"ENSG00000138028",2.19288885512516,1.17836587004634,5.9443980651968,5.13267843214133e-06,3.76090258590903e-05,3.76273372784778,"ENSG00000138028"
"ENSG00000151364",1.601218069453,-0.829113960378082,5.94306092472953,5.14893905509252e-06,3.7708326946343e-05,3.75955285302457,"ENSG00000151364"
"ENSG00000117174",0.721230109499496,1.0470473430305,5.94245552619721,5.1563184094187e-06,3.77425157181531e-05,3.75811263608736,"ENSG00000117174"
"ENSG00000148773",1.17627275606067,2.62572609622487,5.93492091169868,5.24906674479934e-06,3.83839443911029e-05,3.74018517760864,"ENSG00000148773"
"ENSG00000144554",0.918205952596426,0.147887833112899,5.93488897690496,5.2494634478279e-06,3.83839443911029e-05,3.7401091821164,"ENSG00000144554"
"ENSG00000110958",0.703476438389095,5.81242991154704,5.9321412742413,5.28371085508195e-06,3.86140800653285e-05,3.73357008683969,"ENSG00000110958"
"ENSG00000120256",1.10587401054801,2.60070966781581,5.93148056185751,5.29197988975795e-06,3.86359804616358e-05,3.73199758902916,"ENSG00000120256"
"ENSG00000133328",-2.25880998302364,1.76116866813764,-5.93145836509822,5.29225791842692e-06,3.86359804616358e-05,3.73194475994078,"ENSG00000133328"
"ENSG00000146904",1.14440442778994,2.15603408380545,5.92990670196875,5.31173043430596e-06,3.8757815045287e-05,3.72825162928514,"ENSG00000146904"
"ENSG00000236081",2.97324380999893,0.828567414982495,5.92870449101403,5.32686770907083e-06,3.88479058384935e-05,3.72539007590836,"ENSG00000236081"
"ENSG00000104147",1.72375052308194,0.847421434267731,5.92797226679661,5.33610882276312e-06,3.88949251468629e-05,3.72364713740611,"ENSG00000104147"
"ENSG00000164758",0.894641694429091,3.05821349821235,5.92761678252829,5.3406011393425e-06,3.89072619033421e-05,3.72280094756576,"ENSG00000164758"
"ENSG00000171680",0.786448697611773,2.07082162193498,5.92739619663069,5.34339065932985e-06,3.89072619033421e-05,3.72227586189627,"ENSG00000171680"
"ENSG00000011275",0.566836720312622,2.23413474107515,5.92623232174282,5.3581335767748e-06,3.89942162341133e-05,3.71950528163622,"ENSG00000011275"
"ENSG00000159593",0.959518164581975,2.63902311546205,5.92556654019494,5.36658572887756e-06,3.90170453173008e-05,3.7179203444091,"ENSG00000159593"
"ENSG00000174080",-1.4476034623584,3.16247651358244,-5.92554372762545,5.36687557697393e-06,3.90170453173008e-05,3.71786603682433,"ENSG00000174080"
"ENSG00000152234",-1.07168387614526,5.28200687174524,-5.9238702931222,5.38818118476426e-06,3.91514918863716e-05,3.7138821250823,"ENSG00000152234"
"ENSG00000011422",1.43721401767171,3.16395108503781,5.92337423604872,5.39451336426071e-06,3.91770553245893e-05,3.71270112089553,"ENSG00000011422"
"ENSG00000129347",0.631393233712198,2.42309947616074,5.92160381071397,5.41717477768815e-06,3.93208957648577e-05,3.70848593207307,"ENSG00000129347"
"ENSG00000182487",-1.41820414096677,1.50487013112659,-5.92138608749923,5.41996832156026e-06,3.93208957648577e-05,3.70796753640228,"ENSG00000182487"
"ENSG00000112799",-1.48619691286528,2.20567425047611,-5.92051079776778,5.43121373377897e-06,3.93819570842036e-05,3.70588343945299,"ENSG00000112799"
"ENSG00000255186",-2.36159587360987,-0.337211754907664,-5.92000756757425,5.43768981830313e-06,3.94083902396753e-05,3.70468519701143,"ENSG00000255186"
"ENSG00000152503",-1.21156785321619,-0.0549004506278662,-5.91460098095909,5.50776576267851e-06,3.98954812424611e-05,3.69181004910265,"ENSG00000152503"
"ENSG00000116774",-1.21260828508634,2.9238547258353,-5.91408175165723,5.51454385512816e-06,3.99182567113725e-05,3.69057342021558,"ENSG00000116774"
"ENSG00000177192",1.19580065434259,2.66943536078345,5.91392095924911,5.51664458502232e-06,3.99182567113725e-05,3.69019046182009,"ENSG00000177192"
"ENSG00000133424",-0.748426713859026,1.14013669366233,-5.91307339381413,5.52773139203541e-06,3.99777020467101e-05,3.68817177948962,"ENSG00000133424"
"ENSG00000102048",1.71229189120787,0.328139495759998,5.91246209116619,5.53574179068557e-06,4.00148479802308e-05,3.68671577206731,"ENSG00000102048"
"ENSG00000135363",-0.928130015877913,1.58022075866602,-5.91115032491135,5.55297088406242e-06,4.01185576792512e-05,3.68359127353885,"ENSG00000135363"
"ENSG00000101049",-2.00027133872473,2.1455464040466,-5.91020155022259,5.56546639090821e-06,4.01879787833113e-05,3.68133128407866,"ENSG00000101049"
"ENSG00000155893",0.934559243232881,0.407669940221997,5.90909578371854,5.58006566357329e-06,4.02725112329017e-05,3.6786972315961,"ENSG00000155893"
"ENSG00000116213",0.675544831257574,1.25881163107312,5.90678873710468,5.6106510272199e-06,4.04722712958319e-05,3.67320123199904,"ENSG00000116213"
"ENSG00000274750",-0.832708163795456,0.261248433814363,-5.90511450019067,5.63295391585291e-06,4.06038630819112e-05,3.66921243974016,"ENSG00000274750"
"ENSG00000204876",2.52248646879721,0.967682197899071,5.90498171927528,5.63472658197475e-06,4.06038630819112e-05,3.66889608403816,"ENSG00000204876"
"ENSG00000008282",0.718133350228311,4.53442963973056,5.89952882382709,5.70801752231576e-06,4.11107190613968e-05,3.65590291650314,"ENSG00000008282"
"ENSG00000128965",1.55713423692036,0.865815521451743,5.8993033339701,5.7110691006643e-06,4.11114291724139e-05,3.6553655587998,"ENSG00000128965"
"ENSG00000171243",-2.20999741052997,0.669933403734278,-5.89685529426487,5.74430585687045e-06,4.13293158342896e-05,3.64953140633687,"ENSG00000171243"
"ENSG00000058085",1.36582845529186,3.1580872511118,5.89501192987388,5.76946302114117e-06,4.14748997555205e-05,3.64513794149171,"ENSG00000058085"
"ENSG00000159840",1.04645783022561,5.36320395479721,5.8949362281128,5.77049855095842e-06,4.14748997555205e-05,3.64495750751594,"ENSG00000159840"
"ENSG00000091436",1.32666546250273,1.08284119802157,5.89341212013401,5.79138726449137e-06,4.16035570156082e-05,3.64132470563192,"ENSG00000091436"
"ENSG00000172239",0.972197826884269,3.56396532208715,5.88990648440434,5.83972674950454e-06,4.19291778270254e-05,3.63296799022402,"ENSG00000172239"
"ENSG00000134283",0.565768913478694,1.3688460281672,5.88727047078937,5.87634554566185e-06,4.2170351900363e-05,3.62668351930793,"ENSG00000134283"
"ENSG00000168411",0.958136374805423,1.71208781041308,5.88457900467364,5.91397607389202e-06,4.24185342095439e-05,3.6202661765784,"ENSG00000168411"
"ENSG00000020256",0.820665180327137,1.20043297156311,5.88091179448267,5.96564437352475e-06,4.27670962761131e-05,3.61152125268908,"ENSG00000020256"
"ENSG00000108846",-0.88662751049466,3.74794160195981,-5.87856627560638,5.99893190504694e-06,4.29835975203621e-05,3.6059274124231,"ENSG00000108846"
